2019-01-21 20:04:39,012 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2019-01-21 20:04:39,170 [Client thread] INFO GottschCore | VersionChecker.java:110 | [dungeons2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Dungeons2/master/Dungeons2-1.12.2/update.json
2019-01-21 20:08:26,066 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:383 | Levels don't require joining 5 to 4
2019-01-21 20:08:26,071 [Server thread] WARN Dungeons2 | LevelBuilder.java:1846 | Wayline's points are equal !!: Wayline [point1=Waypoint [id=25, coords=Coords [x=112, y=0, z=1330], terminated=false], point2=Waypoint [id=19, coords=Coords [x=112, y=0, z=1330], terminated=true], alignment=HORIZONTAL]
2019-01-21 20:08:26,078 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:388 | Unable to generate Level: 8
2019-01-21 20:16:16,172 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2019-01-21 20:16:16,392 [Client thread] INFO GottschCore | VersionChecker.java:110 | [dungeons2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Dungeons2/master/Dungeons2-1.12.2/update.json
2019-01-21 20:20:45,325 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:388 | Unable to generate Level: 2
2019-01-21 20:20:58,497 [Server thread] WARN Dungeons2 | RotatorRegistry.java:68 | The class has already been registered.
2019-01-21 20:20:58,986 [Server thread] INFO Dungeons2 | DungeonsWorldGen.java:358 | Dungeon generated @ -1696 65 2022
2019-01-21 20:23:23,272 [Server thread] INFO Dungeons2 | DungeonsWorldGen.java:358 | Dungeon generated @ -3125 73 2354
2019-01-21 20:24:27,292 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:388 | Unable to generate Level: 0
2019-01-21 20:37:15,214 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2019-01-21 20:37:15,389 [Client thread] INFO GottschCore | VersionChecker.java:110 | [dungeons2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Dungeons2/master/Dungeons2-1.12.2/update.json
2019-01-21 20:42:07,493 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:388 | Unable to generate Level: 0
2019-01-21 20:45:05,368 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:383 | Levels don't require joining 1 to 0
2019-01-21 20:45:05,373 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:383 | Levels don't require joining 2 to 1
2019-01-21 20:45:05,376 [Server thread] WARN Dungeons2 | LevelBuilder.java:1846 | Wayline's points are equal !!: Wayline [point1=Waypoint [id=8, coords=Coords [x=1909, y=0, z=16], terminated=false], point2=Waypoint [id=13, coords=Coords [x=1909, y=0, z=16], terminated=true], alignment=HORIZONTAL]
2019-01-21 20:45:05,377 [Server thread] WARN Dungeons2 | LevelBuilder.java:1846 | Wayline's points are equal !!: Wayline [point1=Waypoint [id=8, coords=Coords [x=1909, y=0, z=16], terminated=false], point2=Waypoint [id=13, coords=Coords [x=1909, y=0, z=16], terminated=true], alignment=HORIZONTAL]
2019-01-21 20:45:05,627 [Server thread] WARN Dungeons2 | RotatorRegistry.java:68 | The class has already been registered.
2019-01-21 20:45:06,452 [Server thread] INFO Dungeons2 | DungeonsWorldGen.java:358 | Dungeon generated @ 1908 63 36
2019-01-21 20:47:03,811 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:383 | Levels don't require joining 4 to 3
2019-01-21 20:47:04,770 [Server thread] INFO Dungeons2 | DungeonsWorldGen.java:358 | Dungeon generated @ 2709 90 68
2019-01-21 20:53:39,787 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2019-01-21 20:53:39,987 [Client thread] INFO GottschCore | VersionChecker.java:110 | [dungeons2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Dungeons2/master/Dungeons2-1.12.2/update.json
2019-01-21 21:02:34,636 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:383 | Levels don't require joining 1 to 0
2019-01-21 21:02:34,660 [Server thread] WARN Dungeons2 | LevelBuilder.java:1846 | Wayline's points are equal !!: Wayline [point1=Waypoint [id=15, coords=Coords [x=5, y=0, z=3], terminated=false], point2=Waypoint [id=16, coords=Coords [x=5, y=0, z=3], terminated=true], alignment=HORIZONTAL]
2019-01-21 21:02:35,137 [Server thread] WARN Dungeons2 | RotatorRegistry.java:68 | The class has already been registered.
2019-01-21 21:02:37,117 [Server thread] INFO Dungeons2 | DungeonsWorldGen.java:358 | Dungeon generated @ 14 79 -55
2019-01-21 21:05:50,939 [Server thread] WARN Dungeons2 | DungeonBuilderTopDown.java:383 | Levels don't require joining 3 to 2
2019-01-21 21:05:51,255 [Server thread] INFO Dungeons2 | DungeonsWorldGen.java:358 | Dungeon generated @ -118 73 807
2019-01-21 21:06:51,241 [Server thread] INFO Dungeons2 | DungeonsWorldGen.java:358 | Dungeon generated @ -342 64 1298
